epoch,avg_node,avg_fitness,avg_day,avg_time_process,param_score
10,97.4,0.8439820782939217,17.2,82.30442667007446,0.8245622686920353
25,97.6,0.8400777448073884,18.0,208.77982602119445,0.5706528255678982
50,97.6,0.8457210847095722,17.8,410.6325424194336,0.771823326680187
75,97.6,0.8371015137527014,18.0,605.896776342392,0.43513197944755777
100,97.6,0.8383243230844399,17.8,801.7780806064605,0.508830256194028
150,97.6,0.8432898703011276,17.6,1186.0749247074127,0.6677391581090564
250,97.2,0.8427846080247706,17.6,2100.2184358119966,0.289831123860612
