epoch,avg_node,avg_day,avg_time_process,param_score
10,97.6,17.2,37.649005842208865,0.6999999999999974
15,98.0,17.0,54.45965342521667,0.931360134619381
25,97.8,17.6,92.98980431556701,0.6435042126225317
50,97.6,17.8,186.7694833278656,0.48249654970483263
75,97.6,17.8,282.2529892921448,0.471288895136971
100,97.6,17.6,369.79661641120913,0.5276798736367699
150,97.4,17.0,543.4085393428802,0.6239683352780809
250,97.2,17.4,965.3235455989837,0.3577781661031943
500,97.8,16.8,1809.0398389339448,0.7087445092063427
750,98.0,17.8,2877.479153060913,0.3333333333333333
