max_tour,avg_node,avg_fitness,avg_day,avg_time_process,param_score
5,4.0,0.9346113906130761,1.0,0.3552515983581543,0.75
15,14.0,0.9246273053313511,2.0,1.1738840103149415,0.7311618696331317
30,28.6,0.8721280404052209,4.6,2.862744092941284,0.59194360290103
45,42.8,0.8695073692231208,7.2,6.325934791564942,0.5556084910751745
60,58.8,0.84542903992713,10.4,9.984435749053954,0.46226919662885047
75,74.0,0.8302327279412294,14.0,16.74263834953308,0.35514974343380745
100,97.4,0.8412544110268418,18.2,28.951948165893555,0.2763983145680435
