max_tour,avg_node,avg_fitness,avg_day,avg_time_process,param_score
5,4.0,0.9346113906130761,1.0,13.658238744735717,0.75
15,13.6,0.9286251577035264,2.0,43.55794706344604,0.7389807898299867
30,28.8,0.8730033794690317,4.8,123.92077994346619,0.5764542776994397
45,43.0,0.8640105833922878,7.0,253.20752816200257,0.5316280351968388
60,58.8,0.8425586612309859,10.4,418.3443431377411,0.43340255728048926
75,73.0,0.8400624019621443,13.2,643.3653176784516,0.37694218318252903
100,97.8,0.8386418009201124,17.8,1232.9548942089082,0.25
