max_tour,avg_node,avg_fitness,avg_day,avg_time_process,param_score
5,4.0,0.28961139061307595,1.0,2.9771663665771486,0.75
15,14.6,0.27954563913593083,2.0,9.416941738128662,0.7105884103780444
30,29.6,0.24873513208096595,4.8,30.502915716171266,0.5464671640861309
45,42.8,0.25267533516794366,7.0,61.901543092727664,0.535200991164301
60,59.0,0.24560030126279453,9.8,104.92105522155762,0.4616342507175045
75,73.8,0.2344672830239179,13.2,168.58724665641785,0.3372756935055877
100,98.0,0.23880915774805364,16.6,273.84781484603883,0.2696842188311585
