max_tour,avg_node,avg_fitness,avg_day,avg_time_process,param_score
5,4.0,0.3116666666666667,1.0,2.9794478893280028,0.75
15,13.2,0.3101587301587302,2.2,12.635803031921387,0.715221173659204
30,29.6,0.30128507936507937,5.6,38.027789974212645,0.481601557862377
45,44.6,0.3019944223985891,8.8,80.4019184589386,0.46584715850684427
60,59.6,0.30181452374785706,12.0,141.8792371749878,0.415319040111636
75,74.4,0.3039022790227202,15.6,234.51476268768312,0.3917009104801298
100,98.2,0.30307653021442493,19.6,360.4545503139496,0.29314009980611677
