max_tour,avg_node,avg_fitness,avg_day,avg_time_process,param_score
5,4.0,0.9346113906130761,1.0,0.15765457153320311,0.75
15,14.0,0.924361395433819,2.0,0.41861610412597655,0.7304068229834244
30,28.4,0.8739230798553599,4.8,1.4485191822052002,0.5790327450030472
45,43.0,0.8612024004029077,7.4,3.0198534965515136,0.5146359522037938
60,58.8,0.8406569874632576,10.2,4.677540874481201,0.42908516945106345
75,73.8,0.8344950745817673,13.2,7.4542262077331545,0.3518567166303017
100,97.8,0.8400135470084168,17.2,12.659851121902467,0.26378015254008075
