max_tour,avg_node,avg_fitness,avg_day,avg_time_process,param_score
5,4.0,0.3116666666666667,1.0,0.16997337341308594,0.75
15,13.0,0.3098920634920635,2.0,0.5602785587310791,0.7155433902175575
30,29.2,0.3021066666666667,4.8,1.5312819957733155,0.5377924826909417
45,44.4,0.3011457671957672,8.2,3.411789798736572,0.477420531291358
60,60.0,0.299803354978355,11.2,5.545479011535645,0.4116954968350158
75,74.2,0.30272391156462575,14.6,9.168384838104249,0.4016160966117198
100,98.0,0.3018081494586139,18.2,15.27227749824524,0.2922477831850725
