max_tour,avg_node,avg_fitness,avg_day,avg_time_process,param_score
5,4.0,0.28961139061307595,1.0,0.1617732048034668,0.75
15,14.4,0.28140640301178754,2.0,0.42435550689697266,0.7158396914182975
30,28.2,0.2616983405810849,4.2,1.326854419708252,0.6016951715814993
45,42.4,0.25490187256155633,6.6,2.8070982456207276,0.538407293099646
60,58.4,0.24553524684966085,9.6,4.634249973297119,0.45074620191506676
75,73.8,0.2395669352394425,12.6,7.198293161392212,0.36368611433435827
100,97.8,0.24375767898414505,17.0,12.629207038879395,0.27093510516506925
