max_tour,avg_node,avg_fitness,avg_day,avg_time_process,param_score
5,4.0,0.28961139061307595,1.0,2.126420497894287,0.75
15,14.6,0.2827105433044489,2.0,5.68011622428894,0.723203633972589
30,29.2,0.2588495614834275,4.6,16.986578226089478,0.5874938251860644
45,43.8,0.24991236605060693,7.0,33.92208042144775,0.5153448591736233
60,59.8,0.23673636286705455,10.2,55.73784742355347,0.4053905348300205
75,73.8,0.2376668679025525,12.8,86.3604169845581,0.3504267338733612
100,98.4,0.2408856979772486,16.8,140.5638479709625,0.2696185954271497
