max_tour,avg_node,avg_fitness,avg_day,avg_time_process,param_score
5,4.0,0.9346113906130761,1.0,2.406769800186157,0.75
15,13.8,0.9255177598392532,2.0,6.4277058124542235,0.7308869517638212
30,28.8,0.8690069197225284,4.8,18.187115383148193,0.5644802394521222
45,43.4,0.8621957386824702,7.2,34.69927539825439,0.5206607009802168
60,58.6,0.842738284920663,10.8,58.023294401168826,0.41616253555292904
75,73.4,0.8360720978217472,13.8,87.3166081905365,0.3414594716620295
100,97.6,0.8389838318106844,17.6,142.86254634857178,0.2573872409331758
