max_tour,avg_node,avg_fitness,avg_day,avg_time_process,param_score
5,4.0,0.3116666666666667,1.0,2.1082350730896,0.75
15,13.0,0.3103444444444444,2.0,7.56055383682251,0.7220575802704621
30,29.4,0.30083746031746034,5.4,19.712413787841797,0.48198958848394646
45,45.0,0.300957557319224,8.8,41.08729977607727,0.45003839356598674
60,59.8,0.3010282106782106,11.6,67.20704045295716,0.41716766560546903
75,74.6,0.30344410052910054,15.4,116.57295083999634,0.3939679576824
100,98.2,0.30200578761719116,18.6,194.1244002342224,0.27697167414804225
