max_tour,avg_node,avg_fitness,avg_day,avg_time_process,param_score
5,4.0,0.3333333333333333,1.0,2.178052473068237,0.75
15,13.0,0.33043478260869563,2.0,7.232427740097046,0.7303665127175998
30,27.8,0.3172339544513457,4.6,18.93575773239136,0.615080895876698
45,42.6,0.3140587474120083,8.0,40.98708305358887,0.5502352515326238
60,58.6,0.30783374113808903,11.0,65.38655076026916,0.46726620737691427
75,73.2,0.30074131585001146,14.4,100.7895115852356,0.3520328675295385
100,97.8,0.3016135810540845,19.0,170.6974184513092,0.256690788661053
