max_tour,avg_node,avg_fitness,avg_day,avg_time_process,param_score
5,4.0,0.9346113906130761,1.0,2.203256607055664,0.75
15,14.0,0.9256576352713862,2.0,6.67241153717041,0.7327053392021955
30,28.4,0.8841982113385132,4.4,18.799197816848753,0.6155649403036912
45,42.8,0.8622001357907274,7.4,36.45386295318603,0.526832536246296
60,58.6,0.846092435436398,10.6,62.254600811004636,0.43977659413859327
75,73.8,0.8300464931484035,13.6,91.46525521278382,0.34888550513554173
100,97.6,0.8387916761372873,17.2,158.14482579231262,0.270908505628857
