max_tour,avg_node,avg_fitness,avg_day,avg_time_process,param_score
5,4.0,0.3333333333333333,1.0,0.8490612030029296,0.75
10,9.0,0.3289855072463768,2.0,1.7941840648651124,0.7117290330862015
20,18.0,0.32647803082585686,3.0,4.311790990829468,0.6910796325867057
30,27.8,0.3197730848861283,4.6,7.845562982559204,0.6275124231923357
40,37.8,0.31579680567879326,6.8,12.521296977996826,0.5714719144265162
50,48.8,0.3047600644122383,9.0,17.04911389350891,0.4651339947901492
60,58.6,0.3077341740385218,11.6,24.173601818084716,0.444641621283332
70,68.6,0.3039273769708552,13.2,30.35629153251648,0.3917612586399748
80,78.4,0.30062562810148213,15.2,39.25720362663269,0.3242641047081948
90,88.6,0.30042092529443337,16.8,48.046244764328,0.2876083066265007
100,97.6,0.3016335060679073,18.4,56.67947134971619,0.259210665868331
