max_tour,avg_node,avg_fitness,avg_day,avg_time_process,param_score
5,4.0,0.9346113906130761,1.0,0.8540610313415528,0.75
10,9.0,0.8984836173989178,2.0,1.798184061050415,0.655241321147094
20,17.0,0.9239709809337435,2.0,4.075446462631225,0.7281877569316693
30,29.0,0.8670127885538375,4.8,6.87408447265625,0.5652659351712077
40,38.6,0.8706791240542641,6.4,11.188891649246216,0.5552881069262683
50,49.2,0.8490967746990379,8.6,15.756403636932372,0.47585849665733376
60,58.4,0.856089818928736,10.4,21.46138730049133,0.46329753700586573
70,68.8,0.848038588578509,12.0,27.30378665924072,0.4193274984483697
80,78.6,0.8327618464002912,15.2,37.391979455947876,0.311733729585084
90,88.4,0.8402734622827868,16.0,44.309700679779056,0.31108058768521474
100,97.6,0.8394657964508996,17.8,52.69298896789551,0.266455522954041
