max_tour,avg_node,avg_fitness,avg_day,avg_time_process,param_score
5,4.0,0.28961139061307595,1.0,0.8571636199951171,0.75
10,9.2,0.25844501049542207,2.0,1.790788459777832,0.5947214632271992
20,19.2,0.28030795676101466,2.6,3.519410514831543,0.7076629736619472
30,28.2,0.265246265903034,4.2,6.973731756210327,0.617333430270746
40,38.6,0.2550503991958804,6.2,10.91342544555664,0.545325189658714
50,48.0,0.2559923238060363,7.8,15.68989667892456,0.5257923134845277
60,59.8,0.2372834566062417,10.6,20.193496417999267,0.4016150124495588
70,69.2,0.2418426522250384,12.0,26.758305263519286,0.3933565291013685
80,78.8,0.23820100738129826,14.0,34.211935091018674,0.33266985072332655
90,89.4,0.24179713143098575,16.0,42.89643659591675,0.3029569660350093
100,98.2,0.2395990830634057,17.2,50.02099251747131,0.26106305122261075
