max_tour,avg_node,avg_fitness,avg_day,avg_time_process,param_score
5,4.0,0.9346113906130761,1.0,0.7668392658233643,0.75
10,9.0,0.8987491934530096,2.0,1.6512557506561278,0.656082566614495
20,18.4,0.9100231293412652,2.8,3.3892582416534425,0.6883178848385733
30,29.0,0.8698688069063042,4.8,6.0800525665283205,0.5750442213006557
40,37.0,0.8762358560377187,6.2,10.440023708343507,0.5700624123950973
50,48.4,0.8564735939335598,8.0,14.326001644134521,0.5062752625340086
60,58.8,0.836444556600566,11.0,23.003929710388185,0.39834363056025623
70,69.0,0.8325114902962307,12.8,30.082521057128908,0.35510757735707654
80,78.6,0.8326389902419065,15.0,37.46928606033325,0.3126713497468405
90,88.4,0.8386036279447591,16.0,45.431528377532956,0.30064566615549926
100,98.0,0.8427436071944767,17.4,53.91859130859375,0.275054179451921
