max_tour,avg_node,avg_fitness,avg_day,avg_time_process,param_score
5,4.0,0.3116666666666667,1.0,0.7530311584472656,0.7336770157684275
10,8.0,0.3125,1.0,1.5996480464935303,0.7573001274126573
20,19.0,0.3070375661375661,3.0,3.4688677310943605,0.6443871196629103
30,29.4,0.3016870899470899,5.4,7.396044015884399,0.5185177019529434
40,40.0,0.3005267573696145,7.8,12.290602445602417,0.47148988843210327
50,50.0,0.29973681096681093,10.2,18.33943452835083,0.42563827301925905
60,59.8,0.30219459706959706,12.2,29.716804027557373,0.4277013185062247
70,69.6,0.30253810802953657,14.2,36.825345039367676,0.404955326768302
80,79.6,0.3025279528478057,16.2,45.164810276031496,0.3710235953725657
90,89.4,0.30294464247037345,18.0,63.335469007492065,0.3094603608078978
100,98.4,0.3022162638076673,19.0,65.0251992225647,0.2985664835490738
