max_tour,avg_node,avg_fitness,avg_day,avg_time_process,param_score
5,4.0,0.3333333333333333,1.0,0.7441214084625244,0.75
10,9.0,0.3289855072463768,2.0,1.6364511489868163,0.716458827091258
20,17.8,0.32723441453876234,2.8,3.6359914779663085,0.7090060094092553
30,27.4,0.32147971014492754,4.6,7.040596294403076,0.6570932746511777
40,37.2,0.3194941831805186,6.8,11.567955160140992,0.6214602193046015
50,48.6,0.3055300973851699,9.0,16.386402559280395,0.5071675572667665
60,58.4,0.30753690150429275,11.6,26.939036750793456,0.46897557577322174
70,68.6,0.3017122646159913,14.0,34.022551918029784,0.3951530606399267
80,78.8,0.2967001669508383,16.0,42.095217657089236,0.3283097741245925
90,89.0,0.2993248522224382,17.6,53.31456780433655,0.3062909655563685
100,97.8,0.3012895209037086,19.4,62.55582699775696,0.281319664705965
