max_tour,avg_node,avg_fitness,avg_day,avg_time_process,param_score
5,4.0,0.28961139061307595,1.0,0.7573165416717529,0.75
10,9.8,0.25884748130489693,2.0,1.6404504299163818,0.6079746634404742
20,19.0,0.28076370271219603,2.6,3.2737346649169923,0.7136100915703505
30,29.2,0.2533793529522482,4.6,6.10815920829773,0.573829659798468
40,37.4,0.25554972370938167,6.0,9.792529106140137,0.566348973349055
50,48.4,0.251506917505231,8.0,14.378907489776612,0.5249759657429267
60,59.2,0.23781532938733158,10.6,22.348173761367796,0.414572147053258
70,68.6,0.24067443615381925,12.0,30.027861976623534,0.3943313872852857
80,79.6,0.23384135591442715,14.0,34.75486245155334,0.339781038709069
90,89.6,0.23829492173472944,15.8,45.57073678970337,0.30724678413363327
100,98.6,0.23618456646367933,17.4,53.27556819915772,0.26050389587308675
