max_tour,avg_node,avg_fitness,avg_day,avg_time_process,param_score
5,4.0,0.9346113906130761,1.0,9.930371761322021,0.75
15,14.0,0.9237341777940671,2.0,27.576970911026002,0.7256323565627305
30,27.8,0.8827821770742981,4.0,84.89417505264282,0.60012853439791
45,43.4,0.8678944000934257,7.0,184.1816201210022,0.523129967927995
60,58.6,0.8512064903899661,10.2,321.27585101127625,0.42500898414448973
75,73.0,0.8445125910274353,13.2,475.47279386520387,0.3500880166356838
100,97.8,0.8444732659616294,17.4,796.599389410019,0.25
