max_tour,avg_node,avg_fitness,avg_day,avg_time_process,param_score
5,4.0,0.3116666666666667,1.0,9.760344696044921,0.75
15,13.0,0.30982857142857145,2.0,35.463265895843506,0.7089123169965035
30,28.6,0.3021982275132275,4.2,85.46887474060058,0.525492385217165
45,44.4,0.30161401171579744,7.6,191.91143741607667,0.47338435019306924
60,59.6,0.30094383838383837,10.8,346.8813642501831,0.4076503712868965
75,74.2,0.3021009419152276,13.8,551.6065178394317,0.37256619192224605
100,98.0,0.30218978628488435,17.4,937.6327887058258,0.2790489567720035
