max_tour,avg_node,avg_fitness,avg_day,avg_time_process,param_score
5,4.0,0.3333333333333333,1.0,9.783170366287232,0.75
15,13.0,0.33089855072463764,2.0,34.56995368003845,0.7343309931109993
30,27.8,0.3221183574879226,4.0,85.75837383270263,0.6659284092914137
45,42.4,0.31343193992572876,7.4,185.99398641586305,0.562216892482683
60,58.4,0.30687941736202606,10.6,333.59362373352053,0.46727451503291395
75,73.6,0.2984255042633925,13.8,522.1818039894104,0.34500005474283424
100,97.0,0.3038086930021607,17.2,895.8821609020233,0.28855287540212327
