max_tour,avg_node,avg_fitness,avg_day,avg_time_process,param_score
5,4.0,0.9346113906130761,1.0,9.738396787643433,0.75
10,8.4,0.9210951772120101,1.4,21.428815793991088,0.7182592393944557
20,17.4,0.9213016797972324,2.2,47.20204973220825,0.7218409800180838
30,28.0,0.8886880594300856,4.2,85.3243993282318,0.6257416621083075
40,37.2,0.8776920426281531,5.8,133.61860518455507,0.58218351216481
50,48.6,0.8564056012468001,8.0,197.9737322807312,0.5043776994411673
60,59.0,0.846263777938522,10.8,296.05819926261904,0.4308430555440255
70,68.8,0.8334601996757138,12.6,387.6018545150757,0.36692030526260955
80,78.0,0.8417187836902071,13.8,507.61877546310427,0.35335115091240604
90,88.4,0.844477691025582,15.6,637.5689710140228,0.31673009465729374
100,97.2,0.8431819068197488,17.0,761.5592287540436,0.27402766357455727
