max_tour,avg_node,avg_fitness,avg_day,avg_time_process,param_score
5,4.0,0.28961139061307595,1.0,19.194688320159912,0.75
10,8.6,0.27927811611653874,1.4,42.358016872406004,0.7007370821111275
20,18.4,0.2860046280030403,2.4,92.87806425094604,0.7358525897751628
30,28.8,0.26254959540251194,4.4,170.66871733665465,0.6024292803775207
40,38.2,0.2647966715749945,5.8,283.0035150527954,0.597596053215578
50,48.0,0.256519502979757,7.8,432.3115803718567,0.5259329150091603
60,59.0,0.24954743598888487,10.0,605.2362321853637,0.4568177235611807
70,68.8,0.24187402322598456,11.8,780.7268712997436,0.3869381876579797
80,78.6,0.23922482018886929,13.8,1032.9026408195496,0.32600403521022125
90,89.0,0.24317681322155008,15.2,1249.6466137886048,0.31483130200516846
100,98.2,0.24458383590295144,16.8,1514.803866815567,0.27658950425165074
