max_tour,avg_node,avg_fitness,avg_day,avg_time_process,param_score
5,4.0,0.3116666666666667,1.0,19.192565870285033,0.7326726636974893
10,8.0,0.3125,1.0,42.11670808792114,0.7573414162912253
20,19.0,0.30550352733686065,3.0,94.85856695175171,0.6033945425962918
30,29.4,0.3005750529100529,4.8,189.6425311088562,0.48790651595896173
40,39.6,0.30057838246409674,6.6,313.57312684059144,0.47030039159792547
50,49.6,0.3004766093474427,8.8,473.9179979324341,0.4387897426970092
60,59.4,0.30206862914862914,10.6,675.1552518367768,0.44219162226057324
70,70.0,0.3014194139194139,13.2,960.9695498943329,0.37706508628051605
80,79.0,0.3031635827664399,14.8,1205.9347897529601,0.37832113277425483
90,89.8,0.30218161375661373,16.0,1435.2961318016053,0.3358975986194225
100,98.4,0.3023442265795207,17.6,1781.6098180294036,0.28883299823749753
